tipo_orgn_mod,AÑO2015,AÑO2016,AÑO2017,AÑO2018,AÑO2020,AÑO2023,Total
UR,168,193,135,110,168,166,940
CP,62,67,43,30,75,34,311
CM,47,53,24,30,40,22,216
AH,38,47,23,18,46,38,210
VL,27,31,35,28,69,10,200
VV,20,40,26,28,24,32,170
MA,40,44,18,24,18,10,154
SR,30,35,20,23,33,12,153
OO,37,37,16,21,14,7,132
VC,32,26,19,12,12,20,121
SG,24,32,26,22,10,4,118
OB,18,30,15,20,18,8,109
AG,32,28,10,14,20,2,106
TB,15,20,16,12,4,6,73
PR,10,16,10,10,8,3,57
MN,12,13,14,13,0,0,52
CD,3,2,11,9,14,12,51
EM,12,12,3,4,4,6,41
FA,4,8,8,4,6,6,36
ED,8,12,2,4,0,8,34
GE,4,9,1,2,4,0,20
HC,0,0,2,2,6,2,12
RE,2,1,2,4,2,0,11
SA,0,0,2,2,2,2,8
CT,0,2,0,0,0,0,2
Total,645,758,481,446,597,410,NA
